# DraftSheets re-scored for San Diego City Slackers (12 tm, QB1/RB2/WR3/TE1/FLEX1 RB/WR, 0 PPR). Pts = ECR-blended 16-game projection; VBD vs baselines QB14, RB44, WR47, TE12.
Player,Position,Team,Bye,ECRRank,ECRTier,PosRank,Upside,Bust,MissedGames,Low,Avg,High,Pts,VBD,Tier,ECRvsADP
Tank Bigsby,RB,PHI,10,145,7,50,4 out of 5,3 out of 5,3.894,41.67,56.01,69.93,57.8,-18.81,8,11
Zach Charbonnet,RB,SEA,11,146,7,51,3 out of 5,4 out of 5,3.951,52.31,69.75,82.8,66.94,-9.67,8,3
Hunter Henry,TE,NE,11,147,7,17,2 out of 5,4 out of 5,2.369,73.77,78.07,85.15,77.59,-9.82,5,4
Denzel Boston,WR,CLE,11,148,7,58,4 out of 5,4 out of 5,3.848,81.85,88.52,95.2,84.95,5.34,6,35
C.J. Stroud,QB,HOU,8,149,7,23,3 out of 5,4 out of 5,3.2,182.41,196.13,214.46,198.88,-45.13,10,16
Brenton Strange,TE,JAX,7,150,7,18,4 out of 5,3 out of 5,2.485,63.84,72.77,88.56,74.48,-12.93,5,24
Chig Okonkwo,TE,WAS,7,151,7,19,4 out of 5,3 out of 5,2.613,51.26,57.85,63.63,59.33,-28.08,6,18
Tre Tucker,WR,LV,13,152,7,59,4 out of 5,2 out of 5,3.848,57.26,66.08,73.9,67.86,-11.75,7,15
Daniel Jones,QB,IND,13,153,7,24,4 out of 5,4 out of 5,3.2,180.8,205.5,239.57,205.5,-38.51,9,26
Dalton Schultz,TE,HOU,8,154,7,20,3 out of 5,2 out of 5,2.754,56.18,64.57,72.54,64.4,-23.02,6,28
Adonai Mitchell,WR,NYJ,13,155,7,60,4 out of 5,4 out of 5,3.848,45.68,53.35,60.89,58.09,-21.53,8,77
Cam Ward,QB,TEN,9,156,7,25,4 out of 5,4 out of 5,3.2,148.54,174.64,199.83,178.87,-65.14,12,21
Braelon Allen,RB,NYJ,13,157,7,52,1 out of 5,4 out of 5,4.0,40.67,58.43,75.74,58.94,-17.66,8,14
Kayshon Boutte,WR,HOU,8,158,7,61,3 out of 5,4 out of 5,3.848,57.04,65.21,73.37,66.91,-12.7,7,41
Jalen McMillan,WR,TB,10,159,7,62,4 out of 5,3 out of 5,3.848,59.97,62.11,64.69,64.47,-15.15,7,67
Alvin Kamara,RB,NO,8,160,7,53,2 out of 5,4 out of 5,4.0,44.89,55.57,63.93,55.71,-20.9,8,-8
Dontayvion Wicks,WR,PHI,10,161,7,63,4 out of 5,4 out of 5,3.848,40.53,45.68,50.4,51.5,-28.11,8,47
Tyrone Tracy Jr.,RB,NYG,8,162,7,54,1 out of 5,4 out of 5,4.0,19.25,39.48,59.29,44.0,-32.6,9,-7
Josh Jacobs,RB,GB,11,163,7,55,4 out of 5,5 out of 5,4.0,64.02,82.44,99.08,75.39,-1.21,8,-103
Emmett Johnson,RB,KC,5,164,7,56,4 out of 5,4 out of 5,4.0,54.39,63.58,72.62,61.6,-15.01,8,-3
Brian Robinson Jr.,RB,ATL,11,165,7,57,1 out of 5,4 out of 5,4.0,48.49,55.75,61.24,55.31,-21.29,8,-20
Jerry Jeudy,WR,CLE,11,166,7,64,1 out of 5,4 out of 5,3.848,61.67,69.15,76.06,69.01,-10.61,7,54
Ray Davis,RB,BUF,7,167,7,58,-,-,4.0,20.07,20.07,20.07,28.94,-47.66,10,11
Ryan Flournoy,WR,DAL,14,168,7,65,4 out of 5,3 out of 5,3.848,39.71,39.71,39.71,46.93,-32.68,8,83
Pat Bryant,WR,DEN,10,169,7,66,3 out of 5,4 out of 5,3.848,31.47,31.47,31.47,40.68,-38.93,9,79
Tre' Harris,WR,LAC,7,170,7,67,4 out of 5,2 out of 5,3.848,39.49,39.49,39.49,46.67,-32.94,8,64
Jauan Jennings,WR,MIN,6,171,7,68,2 out of 5,4 out of 5,3.848,47.85,61.2,74.41,62.83,-16.78,7,13
Terrance Ferguson,TE,LAR,11,172,7,21,4 out of 5,4 out of 5,2.907,60.38,64.29,69.51,64.1,-23.31,6,9
Omar Cooper Jr.,WR,NYJ,13,173,7,69,4 out of 5,4 out of 5,3.848,65.02,74.21,82.96,72.43,-7.19,7,54
AJ Barner,TE,SEA,11,174,7,22,4 out of 5,2 out of 5,3.0,48.83,58.03,70.66,59.73,-27.68,6,19
Jalen Nailor,WR,LV,13,175,7,70,-,-,3.848,53.4,59.53,66.1,61.28,-18.34,8,-3
T.J. Hockenson,TE,MIN,6,176,7,23,2 out of 5,4 out of 5,3.0,52.46,58.82,67.27,59.72,-27.69,6,-3
Bryce Young,QB,CAR,5,177,7,26,2 out of 5,4 out of 5,3.2,172.65,192.47,216.67,189.41,-54.6,11,-2
Keenan Allen,WR,IND,13,178,8,71,3 out of 5,3 out of 5,3.848,49.24,59.68,69.69,61.16,-18.45,8,-12
Malik Washington,WR,MIA,6,179,8,72,3 out of 5,4 out of 5,3.848,38.09,46.79,55.93,51.5,-28.11,8,37
Kenyon Sadiq,TE,NYJ,13,180,8,24,3 out of 5,4 out of 5,3.0,52.54,61.4,74.45,61.8,-25.61,6,9
Jaylin Noel,WR,HOU,8,181,8,73,4 out of 5,3 out of 5,3.848,46.39,53.65,60.49,55.66,-23.95,8,131
Calvin Ridley,WR,TEN,9,182,8,74,2 out of 5,4 out of 5,3.848,63.65,72.43,81.64,69.73,-9.88,7,46
Isiah Pacheco,RB,DET,6,184,8,59,3 out of 5,4 out of 5,4.0,39.86,48.16,57.04,50.12,-26.49,9,-27
Kimani Vidal,RB,LAC,7,185,8,60,1 out of 5,4 out of 5,4.0,20.15,33.54,46.52,38.83,-37.77,9,52
Jacoby Brissett,QB,ARI,14,186,8,27,2 out of 5,4 out of 5,3.2,145.67,173.27,200.52,173.52,-70.49,13,47
