# Yahoo data for league 59154 (San Diego City Slackers), scraped 2026-09-04: season projections in league scoring (league players page) + ADP (draft analysis, standard-scoring ADP). Kickers omitted: no K slot.
Player,Position,Team,ProjectedPoints,YahooADP,YahooPlayerID,Bye,YahooPreseasonADP,YahooPctDrafted,YahooORank
Najee Harris,RB,NYG,60.48,,33412,8,,,201
Demond Claiborne,RB,MIN,33.69,,42820,6,,,203
Nicholas Singleton,RB,TEN,40.63,,42763,9,,,204
Devaughn Vele,WR,NO,60.60,,41097,8,,,205
Chris Bell,WR,MIA,52.76,,42716,6,,,206
Malik Washington,WR,MIA,68.12,,41058,6,,,208
Jacoby Brissett,QB,ARI,201.50,,29325,14,,,209
Kaleb Johnson,RB,GB,53.27,,41881,11,,,210
Zachariah Branch,WR,ATL,52.87,,42701,11,,,212
Kimani Vidal,RB,LAC,41.17,,41052,7,,,213
George Holani,RB,SEA,39.68,,41344,11,,,219
Rashod Bateman,WR,BAL,63.65,,33415,13,,,222
Cade Otton,TE,TB,62.26,,34062,10,,,223
Seth McGowan,RB,IND,31.16,,42859,13,,,224
Malachi Fields,WR,NYG,56.38,,42696,8,,,225
Kaytron Allen,RB,WAS,39.29,,42809,7,,,227
Kendre Miller,RB,NO,25.95,,40108,8,,,228
Samaje Perine,RB,CIN,67.81,,30227,6,,,230
Tyquan Thornton,WR,KC,53.58,,34005,5,,,231
Jahan Dotson,WR,ATL,49.89,,33971,11,,,234
Jack Bech,WR,LV,35.33,,41843,13,,,236
Antonio Williams,WR,WAS,38.97,,42693,7,,,238
Ted Hurst III,WR,TB,39.10,,42706,10,,,241
Jordan James,RB,SF,41.49,,41933,8,,,242
Chris Brooks,RB,GB,46.76,,40625,11,,,244
Geno Smith,QB,NYJ,191.86,,26662,13,,,245
Justice Hill,RB,BAL,48.16,,31945,13,,,246
Colby Parkinson,TE,LAR,45.40,,32803,11,,,247
Darren Waller,TE,CAR,65.08,,28592,5,,,248
Michael Penix Jr.,QB,ATL,132.13,,40889,11,,,250
Calvin Ridley,WR,TEN,64.19,,30996,9,,,251
Sean Tucker,RB,TB,47.85,,40742,10,,,253
Jaylen Wright,RB,MIA,44.29,,41010,6,,,255
Adam Randall,RB,BAL,30.01,,42780,13,,,256
Bengals,DEF,CIN,127.67,,100004,6,,,257
Emanuel Wilson,RB,SEA,24.17,,40707,11,,,258
Charlie Kolar,TE,LAC,50.16,,34084,7,,,259
Darnell Mooney,WR,NYG,46.97,,32843,8,,,261
Tank Dell,WR,HOU,37.14,,40097,8,,,262
Gunnar Helm,TE,TEN,64.55,,41905,9,,,264
Germie Bernard,WR,PIT,50.71,,42669,9,,,266
Xavier Legette,WR,CAR,48.42,,40890,5,,,268
Colts,DEF,IND,127.49,,100011,13,,,272
Buccaneers,DEF,TB,127.23,,100027,10,,,273
Eli Raridon,TE,NE,27.32,,42717,11,,,274
Keon Coleman,WR,BUF,41.50,,40911,7,,,275
Devin Singletary,RB,NYG,22.37,,31906,8,,,276
Treylon Burks,WR,WAS,27.92,,33973,7,,,278
Isaiah Davis,RB,NYJ,41.90,,41031,13,,,279
Roschon Johnson,RB,CHI,,,40162,10,,,280
Tahj Brooks,RB,CIN,,,41983,6,,,281
DJ Giddens,RB,IND,27.24,,41937,13,,,282
Ollie Gordon II,RB,MIA,36.29,,41969,6,,,285
Evan Engram,TE,DEN,42.31,,30136,10,,,286
Bryce Lance,WR,NO,27.01,,42758,8,,,287
Michael Mayer,TE,LV,41.16,,40065,13,,,288
Saints,DEF,NO,126.23,,100018,8,,,289
Falcons,DEF,ATL,128.63,,100001,11,,,291
Joshua Palmer,WR,BUF,27.95,,33465,7,,,292
DeMario Douglas,WR,NE,49.20,,40222,11,,,293
Tua Tagovailoa,QB,ATL,127.45,,32675,11,,,294
Xavier Hutchinson,WR,HOU,39.72,,40232,8,,,295
Malik Benson,WR,LV,29.87,,42817,13,,,296
Tory Horton,WR,SEA,41.45,,41952,11,,,297
Darius Slayton,WR,NYG,40.15,,32003,8,,,298
Troy Franklin,WR,DEN,42.96,,41009,10,,,299
Jake Tonges,TE,SF,28.62,,34374,8,,,300
Elijah Sarratt,WR,BAL,33.41,,42737,13,,,301
Titans,DEF,TEN,118.40,,100010,9,,,303
Eli Stowers,TE,PHI,30.07,,42676,10,,,304
Shedeur Sanders,QB,CLE,102.33,,41930,11,,,305
Deshaun Watson,QB,CLE,107.25,,30125,11,,,306
Marlin Klein,TE,HOU,21.81,,42681,8,,,307
Kirk Cousins,QB,LV,67.18,,25812,13,,,308
Skyler Bell,WR,BUF,26.80,,42747,7,,,309
Brenen Thompson,WR,LAC,25.19,,42727,7,,,310
Darnell Washington,TE,PIT,44.62,,40094,9,,,311
Elijah Arroyo,TE,SEA,39.80,,41835,11,,,312
Mike Gesicki,TE,CIN,53.80,,31012,6,,,313
Mason Taylor,TE,NYJ,38.01,,41827,13,,,314
Ashton Dulin,WR,IND,26.71,,32292,13,,,316
Erick All Jr.,TE,CIN,32.50,,40989,6,,,317
Carson Beck,QB,ARI,42.59,,42687,14,,,318
Devin Neal,RB,NO,,,41972,8,,,319
LeQuint Allen Jr.,RB,JAX,24.23,,42007,7,,,320
Andrei Iosivas,WR,CIN,45.56,,40211,6,,,321
Chimere Dike,WR,TEN,39.01,,41903,9,,,322
Elic Ayomanor,WR,TEN,34.62,,41904,9,,,323
Trevor Etienne,RB,CAR,,,41913,5,,,324
Luke McCaffrey,WR,WAS,,,40964,7,,,325
Raheim Sanders,RB,CLE,,,42139,11,,,326
Oscar Delp,TE,NO,24.98,,42695,8,,,327
Sione Vaki,RB,DET,22.73,,41006,6,,,328
Kyle Williams,WR,NE,29.54,,41864,11,,,329
Kareem Hunt,RB,KC,,,30199,5,,,330
Christian Kirk,WR,SF,21.32,,31017,8,,,331
Jaydon Blue,RB,PHI,39.70,,41935,10,,,332
Ty Johnson,RB,BUF,41.08,,32018,7,,,333
Theo Johnson,TE,NYG,40.87,,41003,8,,,334
Brashard Smith,RB,KC,23.89,,42012,5,,,335
Isaiah Bond,WR,CLE,31.56,,42598,11,,,336
Marvin Mims Jr.,WR,DEN,35.40,,40090,10,,,337
Phil Mafah,RB,DAL,,,42018,14,,,338
Colbie Young,WR,CIN,25.60,,42762,6,,,339
Brandon Aiyuk,WR,SF,25.17,,32695,8,,,340
CJ Daniels,WR,LAR,,,42819,11,,,341
Jarquez Hunter,RB,MIA,,,41919,6,,,342
Emari Demercado,RB,DAL,27.20,,40430,14,,,343
Savion Williams,WR,GB,24.64,,41851,11,,,344
Zavion Thomas,WR,CHI,27.06,,42711,10,,,345
Roman Wilson,WR,PIT,34.58,,40952,9,,,346
Kendrick Bourne,WR,ARI,44.33,,30551,14,,,348
Hollywood Brown,WR,PHI,30.51,,31857,10,,,349
Kalif Raymond,WR,CHI,28.67,,29631,10,,,350
Corey Kiner,RB,NE,,,42386,11,,,351
Zach Ertz,TE,WAS,,,26658,7,,,354
Justin Fields,QB,KC,28.07,,33399,5,,,356
Tyler Higbee,TE,LAR,26.26,,29344,11,,,359
Jonnu Smith,TE,GB,22.75,,30213,11,,,361
Mack Hollins,WR,NE,24.52,,30231,11,,,362
Dawson Knox,TE,BUF,46.57,,31928,7,,,363
Carson Wentz,QB,MIN,,,29236,6,,,366
Noah Fant,TE,NO,25.40,,31852,8,,,368
Michael Carter,RB,TEN,,,33495,9,,,369
Taysom Hill,TE,NO,,,30614,8,,,373
Cole Kmet,TE,CHI,38.84,,32713,10,,,376
Audric Estime,RB,NO,,,41019,8,,,378
Calvin Austin III,WR,NYG,,,34094,8,,,388
Bam Knight,RB,ARI,,,34357,14,,,2055
Josh Oliver,TE,MIN,26.58,,31901,6,,,2070
Dolphins,DEF,MIA,108.60,,100015,6,,,2072
Austin Hooper,TE,ATL,25.73,,29315,11,,,2073
Jawhar Jordan,RB,HOU,27.10,,41064,8,,,2074
Brock Wright,TE,DET,,,33774,6,,,2075
Joe Mixon,RB,HOU,,,30161,8,,,2076
Panthers,DEF,CAR,121.26,,100029,5,,,2077
Greg Dortch,WR,BUF,24.40,,32523,7,,,2078
Nick Chubb,RB,HOU,,,31005,8,,,2079
KaVontae Turpin,WR,DAL,54.83,,34709,14,,,2080
Joe Flacco,QB,CIN,27.58,,8795,6,,,2083
Sterling Shepard,WR,HOU,,,29274,8,,,2084
Olamide Zaccheaus,WR,ATL,28.07,,32123,11,,,2086
Kevin Austin Jr.,WR,NO,,,34242,8,,,2087
Cedric Tillman,WR,NO,,,40093,8,,,2088
Miles Sanders,RB,DAL,,,31885,14,,,2089
Tanner Hudson,TE,CIN,,,31257,6,,,2090
J.J. McCarthy,QB,MIN,24.61,,40905,6,,,2091
Ja'Tavion Sanders,TE,CAR,,,40995,5,,,2092
Devontez Walker,WR,BAL,27.24,,40991,13,,,2093
Tez Johnson,WR,TB,23.52,,42030,10,,,2094
Daniel Bellinger,TE,TEN,31.26,,34068,9,,,2095
Hunter Renfrow,WR,CAR,,,31981,5,,,2096
Tommy Tremble,TE,CAR,21.47,,33471,5,,,2097
Trey Benson,RB,ARI,,,40958,14,,,2098
Gabe Davis,WR,BUF,,,32798,7,,,2099
John Metchie III,WR,CAR,,,33999,5,,,2100
Cardinals,DEF,ARI,104.52,,100022,14,,,2101
Hunter Long,TE,ARI,,,33469,14,,,2102
Jalen Tolbert,WR,MIA,31.99,,34044,6,,,2103
Jackson Hawes,TE,BUF,,,41959,7,,,2104
Commanders,DEF,WAS,117.51,,100028,7,,,2105
Mac Jones,QB,SF,28.84,,33403,8,,,2106
Adam Trautman,TE,DEN,21.54,,32775,10,,,2107
DeAndre Hopkins,WR,BAL,,,26650,13,,,2108
Tyler Conklin,TE,DET,,,31127,6,,,2109
Demarcus Robinson,WR,SF,22.56,,29360,8,,,2111
Raiders,DEF,LV,114.72,,100013,13,,,2112
Lil'Jordan Humphrey,WR,DEN,,,32494,10,,,2113
Noah Gray,TE,KC,34.06,,33550,5,,,2114
Van Jefferson,WR,WAS,,,32727,7,,,2115
Mitchell Evans,TE,CAR,,,41949,5,,,2116
Jahdae Walker,WR,CHI,,,42400,10,,,2117
